pa, pp, ta, tp
the cop breaks the motor .,the motor is broken by the cop .,a business protected a president .,a president was protected by a business .
the opponent left the machine .,the machine was left by the opponent .,a child forgives an army .,an army is forgiven by a child .
the worker wanted the juice .,the juice was wanted by the worker .,a teacher kills a lawyer .,a lawyer is killed by a teacher .
the prince chased the woman .,the woman was chased by the prince .,a champion drags an author .,an author is dragged by a champion .
an army wants a plate .,a plate is wanted by an army .,the business kept the meal .,the meal was kept by the business .
a sheriff eats a meal .,a meal is eaten by a sheriff .,the child hurried the wife .,the wife was hurried by the child .
the champion embraced the employer .,the employer was embraced by the champion .,a princess leaves a jacket .,a jacket is left by a princess .
a champion beats a leader .,a leader is beaten by a champion .,the adult bothered the corporation .,the corporation was bothered by the adult .
a hero collected a chicken .,a chicken was collected by a hero .,the actress washes the anchor .,the anchor is washed by the actress .
a daughter wants a telephone .,a telephone is wanted by a daughter .,the lady smelled the salad .,the salad was smelled by the lady .
a hero caught an iron .,an iron was caught by a hero .,the secretary hurries the writer .,the writer is hurried by the secretary .
the mother collected the newspaper .,the newspaper was collected by the mother .,a man leads an army .,an army is led by a man .
a doctor washed a soldier .,a soldier was washed by a doctor .,the colonel joins the company .,the company is joined by the colonel .
the lady used the book .,the book was used by the lady .,a professor selects a ball .,a ball is selected by a professor .
a pilot collected a cigarette .,a cigarette was collected by a pilot .,the actress punches the chief .,the chief is punched by the actress .
the uncle caught the chicken .,the chicken was caught by the uncle .,a guy purchases a jacket .,a jacket is purchased by a guy .
the husband wanted the bowl .,the bowl was wanted by the husband .,a company keeps a key .,a key is kept by a company .
a princess kills a child .,a child is killed by a princess .,the author drank the juice .,the juice was drunk by the author .
the aunt uses the guitar .,the guitar is used by the aunt .,a partner judged a son .,a son was judged by a partner .
a kid eats a cheese .,a cheese is eaten by a kid .,the worker hurt the army .,the army was hurt by the worker .
a man removed a crystal .,a crystal was removed by a man .,the lawyer kills the author .,the author is killed by the lawyer .
the manager comforts the guy .,the guy is comforted by the manager .,a woman carried a card .,a card was carried by a woman .
the lawyer judges the scientist .,the scientist is judged by the lawyer .,a woman hurried a boy .,a boy was hurried by a woman .
the adult judges the band .,the band is judged by the adult .,a son hurried an author .,an author was hurried by a son .
an actress forgot an aunt .,an aunt was forgotten by an actress .,the husband destroys the cheese .,the cheese is destroyed by the husband .
the cousin wants the meal .,the meal is wanted by the cousin .,a lady forgave a business .,a business was forgiven by a lady .
a singer eats a chicken .,a chicken is eaten by a singer .,the employee prepared the coffee .,the coffee was prepared by the employee .
an employer forgives a club .,a club is forgiven by an employer .,the leader beat the actress .,the actress was beaten by the leader .
the champion drinks the beer .,the beer is drunk by the champion .,a professor forgot a knife .,a knife was forgotten by a professor .
the child chased the physician .,the physician was chased by the child .,a teacher discovers a chief .,a chief is discovered by a teacher .
an attorney eats a candy .,a candy is eaten by an attorney .,the hero led the company .,the company was led by the hero .
a president removed a bell .,a bell was removed by a president .,the student wraps the newspaper .,the newspaper is wrapped by the student .
the woman ate the chicken .,the chicken was eaten by the woman .,a band purchases a tea .,a tea is purchased by a band .
a parent surprises a mother .,a mother is surprised by a parent .,the pilot left the card .,the card was left by the pilot .
an attorney surprised a guest .,a guest was surprised by an attorney .,the colonel wraps the flower .,the flower is wrapped by the colonel .
a worker punched a minister .,a minister was punched by a worker .,the cop breaks the plate .,the plate is broken by the cop .
the captain beats the bishop .,the bishop is beaten by the captain .,an actor hurried a professor .,a professor was hurried by an actor .
the minister embraced the lady .,the lady was embraced by the minister .,a sheriff punches a daughter .,a daughter is punched by a sheriff .
a lawyer uses a knife .,a knife is used by a lawyer .,the man carried the anchor .,the anchor was carried by the man .
a mayor understood a soldier .,a soldier was understood by a mayor .,the opponent teaches the colonel .,the colonel is taught by the opponent .
the partner uses the cup .,the cup is used by the partner .,an actress dragged a cigarette .,a cigarette was dragged by an actress .
the wife teaches the brother .,the brother is taught by the wife .,a chief carried a juice .,a juice was carried by a chief .
a cop describes a guest .,a guest is described by a cop .,the brother ate the meal .,the meal was eaten by the brother .
the company used the iron .,the iron was used by the company .,a soldier drinks a beer .,a beer is drunk by a soldier .
an author helps a child .,a child is helped by an author .,the actress smelled the meal .,the meal was smelled by the actress .
a child grabbed a gun .,a gun was grabbed by a child .,the lady wraps the hat .,the hat is wrapped by the lady .
the son hurt the mayor .,the mayor was hurt by the son .,an actress drags a ball .,a ball is dragged by an actress .
